Symbol,Description,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating,Price,Price - Currency
ITUB,Itau Unibanco Banco Holding SA,-0.5006257822277852,22138742,0.9514733482285627,89463123424.22398,USD,10.890410958904111,0.73,USD,7.892403192432752,6.53914384471051,Finance,Buy,7.95,USD
BCS,Barclays PLC,0.6674519042010276,3832806,0.7303064508015676,85746278057.8422,USD,10.509919658960486,2.4396,USD,21.621217408644497,1.75490380840204,Finance,Buy,25.64,USD
ING,"ING Group, N.V.",0.7282356835484901,5202691,1.188638762375126,85112831761.66682,USD,12.033851386087711,2.5287,USD,,3.56100297914598,Finance,Buy,30.43,USD
RCL,Royal Caribbean Cruises Ltd.,6.552754942591216,3049001,1.2506630686085067,84124719770.41899,USD,19.14676726242797,16.3824,USD,37.58860483085296,1.44371220870983,Consumer services,Buy,313.67,USD
ABNB,"Airbnb, Inc.",5.049894163894774,4695230,1.2951652621639163,83751871617.1388,USD,34.227444025714924,4.0599,USD,2.1538384117957854,0,Consumer services,Buy,138.96,USD
NOK,Nokia Corporation Sponsored,0.13513513513513226,131110818,0.95604692296566,83695139032.85204,USD,92.4516531503431,0.1603,USD,8.67796610169492,0.811810810810811,Electronic technology,Buy,14.82,USD
SNOW,Snowflake Inc.,3.436721367815104,5917351,0.6278383410789369,83454349032.29848,USD,,-3.5146,USD,16.45828381269312,0,Technology services,Strong buy,240.78,USD
DDOG,"Datadog, Inc.",1.3875598086124392,5812731,0.8635749599034866,82970760037.20573,USD,622.0709901254337,0.3747,USD,-18.825823223570197,0,Technology services,Strong buy,233.09,USD
MMM,3M Company,-0.05684689236988594,4426175,1.159378786134922,82527591485.36147,USD,30.526295481730138,5.1834,USD,-34.5232681521904,1.90752905507832,Producer manufacturing,Buy,158.23,USD
EMR,Emerson Electric Company,2.4114070035647006,2517883,1.1278912010140203,82065852623.68547,USD,33.803986710963464,4.3344,USD,3.4463007159904335,1.53246662472915,Electronic technology,Buy,146.52,USD
ASX,"ASE Technology Holding Co., Ltd.",0.9968520461699962,11471346,0.9099662477037451,81761260709.05865,USD,57.15558194774347,0.6736,USD,43.41068767298275,0.685377754459601,Electronic technology,Strong buy,38.5,USD
MPWR,"Monolithic Power Systems, Inc.",4.752998757385948,761343,0.9714169714427451,81177006700.65639,USD,119.04106628242074,13.88,USD,-63.151159888922514,0.423503157254077,Electronic technology,Buy,1652.29,USD
COHR,Coherent Corp.,7.482533828532843,5158580,0.8020693986917478,80963379243.88354,USD,197.57471593621693,2.0946,USD,,0,Electronic technology,Buy,413.84,USD
FDX,FedEx Corporation,0.13005823061688918,1956277,0.9311540939394783,80828036144.457,USD,18.031661201720393,18.7864,USD,17.954642489388956,1.71440394904082,Transportation,Buy,338.75,USD
LYG,Lloyds Banking Group Plc,-0.18181818181817794,31446050,0.9977786182099824,79896413111.664,USD,13.093250655854996,0.4193,USD,,3.55514545454545,Finance,Buy,5.49,USD
NXPI,NXP Semiconductors N.V.,3.6147739946204753,3544105,0.8136090820142097,79750562369.53972,USD,30.225726506358427,10.4507,USD,13.848248815294934,1.33044676244834,Electronic technology,Buy,315.88,USD
APO,"Apollo Global Management, Inc. (New)",1.6656707499253198,3186729,0.999086324166718,78469802112.99918,USD,89.50483330045375,1.5207,USD,-73.13820391436445,1.56296683597251,Finance,Buy,136.11,USD
BE,Bloom Energy Corporation,5.487664284067317,9171706,0.8546028280750202,78079844925.39774,USD,,-0.0564,USD,32.85714285714286,0,Electronic technology,Buy,274.5,USD
GM,General Motors Company,3.153374233128826,7893349,0.9593863164719092,75802990096.1011,USD,33.91013230074217,2.4792,USD,-64.28849228641805,0.773006134969325,Consumer durables,Buy,84.07,USD
LITE,Lumentum Holdings Inc.,3.8716958201310896,5265944,0.8224361724331831,74473274723.51587,USD,177.65817263970604,5.3881,USD,,0,Producer manufacturing,Buy,957.24,USD
B,Barrick Mining Corporation,4.0547263681591925,12155682,0.861477712327335,70086517327.5831,USD,11.586613889853682,3.610200564,USD,179.97248220371966,2.246736,Non-energy minerals,Buy,41.83,USD
STM,STMicroelectronics N.V.,2.1345407503234224,10457135,0.6384082624603694,69931647498.30453,USD,513.3289986996099,0.1538,USD,-86.87713310580205,0.395860284605433,Electronic technology,Buy,78.95,USD
FIX,"Comfort Systems USA, Inc.",3.9630168139283493,381149,0.8096032816685497,68715840841.98398,USD,56.34169502483685,34.6461,USD,107.81259372113385,0.138473910982579,Industrial services,Strong buy,1952.02,USD
TER,"Teradyne, Inc.",7.24454365079366,4557953,1.1938293003986011,67690397470.05748,USD,80.03146400148067,5.403,USD,52.929521652986125,0.124007936507936,Electronic technology,Buy,432.41,USD
WBD,"Warner Bros. Discovery, Inc. - Series A",-0.5559673832468575,30819041,1.3356129456991221,67266477022.569305,USD,,-0.6988,USD,84.13440799182655,0,Consumer services,Neutral,26.83,USD
ALAB,"Astera Labs, Inc.",6.005719733079126,5332805,0.9360702268265526,66711970589.338425,USD,262.33486114855754,1.4836,USD,532.3955669224212,0,Electronic technology,Buy,389.2,USD
CIEN,Ciena Corporation,3.9082470065922257,3955899,0.9175143299172601,65597039105.46018,USD,154.24890989581598,3.0043,USD,318.48446858894005,0,Electronic technology,Buy,463.41,USD
NBIS,Nebius Group N.V.,11.925460492339464,16699219,1.0026873517972295,65446729342.743614,USD,86.76809128215393,2.9973,USD,,0,Technology services,Buy,260.07,USD
VALE,VALE S.A.,1.8459579885423243,33594034,1.4569516416494155,65053697138.9208,USD,24.42002442002442,0.6552,USD,-51.75612988734262,5.78322087842139,Non-energy minerals,Buy,16,USD
RKLB,Rocket Lab Corporation,6.699873034476022,28927913,1.094335615115196,63241273198.100395,USD,,-0.3303,USD,19.985465116279073,0,Electronic technology,Buy,109.25,USD
KEYS,Keysight Technologies Inc.,1.7880058174351903,946372,0.6224029740483032,60999395875.95825,USD,58.80976702804231,6.0694,USD,42.551142635695335,0,Electronic technology,Buy,356.94,USD
CARR,Carrier Global Corporation,1.74510084394221,5412412,0.7919421310538413,59079190100.16665,USD,46.73148938965902,1.5221,USD,-65.07102370516557,1.33028179087398,Producer manufacturing,Buy,71.13,USD
F,Ford Motor Company,-0.47169811320754906,48551856,0.8520134244947348,58853911077.48113,USD,,-1.4073,USD,-212.7644230769231,4.04312668463612,Consumer durables,Neutral,14.77,USD
CRWV,"CoreWeave, Inc.",6.126305320735949,22003991,0.7193176310344874,58217813931.71128,USD,,-3.1473,USD,-21.728872558499315,0,Technology services,Buy,106.71,USD
WPM,Wheaton Precious Metals Corp,6.752799310938849,2922361,1.2800939881167461,56284266386.74705,USD,31.526129236442788,3.931342128,USD,196.8473199805999,0.618258378511582,Non-energy minerals,Strong buy,123.94,USD
DAL,"Delta Air Lines, Inc.",1.2159884420900444,9785298,1.5885088383823216,55233511172.46266,USD,12.275680806015915,6.8485,USD,21.407931358471153,0.902961714423308,Transportation,Strong buy,84.07,USD
FLEX,Flex Ltd.,-0.3272994455948227,4655888,0.8957490586376314,54670917119.403244,USD,63.996225929579275,2.3317,USD,10.433835369896748,0,Electronic technology,Buy,149.22,USD
MCHP,Microchip Technology Incorporated,5.333893322133556,11611741,0.9065216734672793,54381386495.29946,USD,464.6595646132468,0.2159,USD,,1.91096178076439,Electronic technology,Buy,100.32,USD
UMC,United Microelectronics Corporation (NEW),6.703652334720293,15916319,0.8354686322119331,53027047908.31459,USD,35.777398852891025,0.6451,USD,18.453911127432985,1.71880258899676,Electronic technology,Sell,23.08,USD
MT,Arcelor Mittal NY Registry Shares NEW,-2.259567857647237,1584733,0.7188947061881314,52132898392.443375,USD,16.733963587127345,4.1359,USD,149.60168980084492,0.690227369015676,Non-energy minerals,Buy,69.21,USD
ROK,"Rockwell Automation, Inc.",0.9208864893107541,498343,0.8021584135020119,51583267510.39324,USD,48.168121363258514,9.624,USD,21.16633932618221,1.18648495667697,Producer manufacturing,Buy,463.57,USD
