Symbol,Description,Price,Price - Currency,Price change % 1 day,Volume 1 day,Relative volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst rating
CLS,"Celestica, Inc.",371.71,USD,-12.612845589618212,3570233,1.3857107919992495,42736653210.01142,USD,45.20286828880246,8.223150744,USD,137.55662783391023,0,Electronic technology,Strong buy
HUM,Humana Inc.,350.08,USD,0.08004574042309111,1739359,1.5691879427879751,42031131208.99212,USD,37.46615438949475,9.3439,USD,-33.932220407412906,1.08078402637846,Health services,Neutral
GFS,GlobalFoundries Inc.,75.53,USD,-10.826446280991737,7048614,0.7572562556589849,42026192815.622635,USD,54.260057471264375,1.392,USD,,0,Electronic technology,Buy
XYZ,"Block, Inc.",68.15,USD,-3.865143179573981,4888141,0.7615645175015658,40561774289.68267,USD,52.94437538844004,1.2872,USD,-68.69116824362123,0,Commercial services,Strong buy
VIK,Viking Holdings Ltd,89.94,USD,-0.055561729081005845,1927479,0.5576566880473558,40093994054.55528,USD,33.49471175331446,2.6852,USD,117.98993343075175,0,Consumer services,Strong buy
HEI,Heico Corporation,331.43,USD,-0.4625041295011624,469719,0.5706072037915844,38897735173.581566,USD,59.19344180314694,5.5991,USD,30.878193590612646,0.0729239464008994,Electronic technology,Buy
STLD,"Steel Dynamics, Inc.",268.5,USD,-3.016073686111621,1120527,0.9620422725183299,38721133141.34228,USD,28.76087235956982,9.3356,USD,23.396999537373596,0.737833024388471,Non-energy minerals,Buy
A,"Agilent Technologies, Inc.",135.44,USD,-2.1175110211751154,2201180,0.677492465936473,38252581039.82358,USD,27.202795798268692,4.9789,USD,22.799358737205583,0.73216885007278,Health technology,Strong buy
CRDO,Credo Technology Group Holding Ltd,206.89,USD,-4.878160919540236,15917767,1.8047562974734073,38160848326.65409,USD,83.34944807026024,2.4822,USD,790.6350914962326,0,Technology services,Strong buy
TEVA,Teva Pharmaceutical Industries Limited,34.19,USD,-0.6970665117630032,5713369,0.8923903310933852,37833330172.1544,USD,25.40685145277551,1.3457,USD,,0,Health technology,Strong buy
JBL,Jabil Inc.,353.24,USD,-5.505323417687653,1011448,0.8539801277093101,37267747922.264244,USD,47.34105285729603,7.4616,USD,78.81518404907976,0.0844238075137189,Producer manufacturing,Buy
WAT,Waters Corporation,365.36,USD,-2.9510983610911925,676544,0.6199342115270392,35873181867.864235,USD,46.50890436243747,7.8557,USD,-28.76263885740195,0,Health technology,Buy
UAL,"United Airlines Holdings, Inc.",105.73,USD,0.7528111301696268,3835892,0.6522362419932601,34316757635.159023,USD,9.433187905391542,11.2083,USD,2.1760137106184336,0,Transportation,Strong buy
TWLO,Twilio Inc.,225.99,USD,-4.500507099391472,3389142,1.069120693747925,34299374864.43422,USD,350.5351326198232,0.6447,USD,,0,Technology services,Buy
NTAP,"NetApp, Inc.",167.04,USD,-6.613741823670829,3258633,0.5424744214230778,32962072657.94036,USD,26.273652421473173,6.3577,USD,11.899816952970992,1.14866357411089,Electronic technology,Buy
RVMD,"Revolution Medicines, Inc.",149.23,USD,-4.149270987218196,2140414,0.6395460555454247,31725771747.804787,USD,,-7.073,USD,-76.93115869521715,0,Health technology,Strong buy
CNC,Centene Corporation,62.33,USD,-0.5901116427432289,3961192,0.8926049942490484,30778366433.277412,USD,,-13.1443,USD,-295.7045441010065,0,Health services,Buy
TECK,Teck Resources Ltd,61.67,USD,-8.338287752675386,4839379,1.470555220417718,30193632683.903217,USD,22.77121657314827,2.708243532,USD,453.8008787023556,0.534702170890814,Non-energy minerals,Buy
FSLR,"First Solar, Inc.",279.01,USD,-11.411335132560724,3903926,1.078992450696172,29980562395.29304,USD,18.02553202486013,15.4786,USD,31.587180141120463,0,Electronic technology,Buy
ZM,"Zoom Communications, Inc.",101.62,USD,-3.412223172702204,3605572,0.6295185561620692,29798258803.058006,USD,14.912319319098982,6.8145,USD,104.61506125390343,0,Technology services,Buy
MTZ,"MasTec, Inc.",363.89,USD,-2.8927494462679877,887668,0.6658311161290483,28754062149.93872,USD,63.616020698938826,5.7201,USD,111.18289891456841,0,Industrial services,Strong buy
MDB,"MongoDB, Inc.",350.74,USD,-7.7437003524646215,1786156,0.41622039317181336,28210695878.969482,USD,,-0.371,USD,67.75595341560926,0,Technology services,Buy
DXCM,"DexCom, Inc.",72.86,USD,0.371952059512324,4859343,0.7815106694489206,28114702227.37639,USD,31.16205465976648,2.3381,USD,75.51985586667665,0,Health technology,Strong buy
STRL,"Sterling Infrastructure, Inc.",882.43,USD,-11.201119004971124,808689,1.1507174330584113,27078206458.646217,USD,78.89193852645883,11.1853,USD,30.73659357613726,0,Industrial services,Strong buy
CFG,"Citizens Financial Group, Inc.",63.98,USD,0.12519561815336197,3671514,0.8235133784133507,27055985183.786118,USD,15.151443389300685,4.2227,USD,34.463762578015526,2.92540224280839,Finance,Strong buy
JBHT,"J.B. Hunt Transport Services, Inc.",284.95,USD,0.5788712011577376,1146917,1.4057451950860809,26870556428.484375,USD,44.111955663575706,6.4597,USD,17.295540383497958,0.635600785574005,Transportation,Buy
TSEM,Tower Semiconductor Ltd.,235.48,USD,-9.884811143852135,1606505,0.8471912257313297,26316449782.744648,USD,109.3729679516953,2.153,USD,19.213732004429676,0,Electronic technology,Buy
XPO,"XPO, Inc.",218.94,USD,-0.14594545288698038,1034239,0.49177480359230347,25705741477.521057,USD,75.0154183512643,2.9186,USD,-10.196923076923074,0,Transportation,Buy
PPG,"PPG Industries, Inc.",113.8,USD,1.643444087173994,1934970,1.0100317280156923,25366019166.345272,USD,16.30395850943423,6.9799,USD,18.227243470307247,2.54960050273813,Process industries,Buy
SMCI,"Super Micro Computer, Inc.",41.64,USD,-11.215351812366734,49258956,0.9786674854216878,25043066124.86293,USD,21.964342230193058,1.8958,USD,4.636273319350914,0,Electronic technology,Neutral
ILMN,"Illumina, Inc.",162.32,USD,-3.4154468642151667,2061539,0.9945088135982747,24559015442.56807,USD,29.460234491270096,5.5098,USD,,0,Health technology,Buy
RF,Regions Financial Corporation,28.54,USD,0.38691523039043063,9464467,0.8838986464456873,24355452806.973724,USD,11.835448287301983,2.4114,USD,16.40278045954817,3.81386861313869,Finance,Neutral
ATI,ATI Inc.,177.47,USD,-2.0044174489232445,1274723,0.7527488241132271,24219407268.12032,USD,58.524600976124525,3.0324,USD,9.706595275134763,0,Non-energy minerals,Strong buy
CRS,Carpenter Technology Corporation,483.6,USD,-1.831025942917458,614869,0.9874425153897197,24027961227.846012,USD,50.90044101085161,9.5009,USD,34.63277076336635,0.164254183348732,Non-energy minerals,Buy
HPQ,HP Inc.,25.58,USD,-2.73764258555134,17560416,0.5198185742353094,23393491618.86482,USD,9.440507824033068,2.7096,USD,4.43228243274494,4.52688172043011,Technology services,Neutral
CPAY,"Corpay, Inc.",347.45,USD,-2.7241166918640514,492409,0.868523563386157,22709997571.175873,USD,20.769695194486122,16.7287,USD,17.324402987691553,0,Commercial services,Buy
FN,Fabrinet,621.25,USD,-13.08514507960491,919388,0.8895384692191871,22259225115.532757,USD,53.4165068828835,11.6303,USD,29.62884529647794,0,Electronic technology,Buy
WST,"West Pharmaceutical Services, Inc.",314.5,USD,-0.8886928022185785,636032,0.8872212943600534,22218667083.933483,USD,42.042644208274844,7.4805,USD,17.468318650774957,0.275046631469128,Health technology,Buy
CHRW,"C.H. Robinson Worldwide, Inc.",184.09,USD,-0.27087057803781356,1004534,0.6847162531686226,21699248454.47875,USD,37.26367353548439,4.9402,USD,18.025658790644343,1.38320239017373,Transportation,Buy
SNX,TD SYNNEX Corporation,268.8,USD,-3.1595633533883283,484133,0.5172006917047668,21609125097.402325,USD,22.331702210738825,12.0367,USD,50.41738521906475,0.658907788719785,Distribution services,Strong buy
WWD,"Woodward, Inc.",357.74,USD,-0.7270507270507283,655644,0.9131347625988054,21315171918.595497,USD,42.83439299783278,8.3517,USD,34.92245557350564,0.342827757620775,Producer manufacturing,Strong buy
IONQ,"IonQ, Inc.",56.78,USD,-13.524215656411812,32123189,0.885653395722726,21194267553.369778,USD,,-0.1712,USD,88.51160917997584,0,Electronic technology,Buy
OKTA,"Okta, Inc.",118.72,USD,-3.854875283446716,4017679,0.5930079281074091,20634354032.707256,USD,86.2289366647298,1.3768,USD,113.75562800807329,0,Technology services,Buy
MKSI,MKS Inc.,301.65,USD,-8.654574084728837,955719,0.971244636894144,20374688267.62226,USD,63.05129384223067,4.7842,USD,42.58210645526615,0.271520214829181,Producer manufacturing,Buy
LUV,Southwest Airlines Company,41.54,USD,0.5567659162430327,4885959,0.7547432792412453,20303659472.590164,USD,26.465341488277264,1.5696,USD,86.39116494478093,1.76168338634695,Transportation,Neutral
IREN,IREN Limited,54.35,USD,-12.140316844487549,64148218,1.2199514589605096,19395205299.305134,USD,187.1556473829201,0.2904,USD,,0,Technology services,Buy
DKS,Dick's Sporting Goods Inc,214.83,USD,-1.2729779411764623,1577025,0.9263499986166648,19216385525.151943,USD,20.419549844118322,10.5208,USD,-24.81705922707524,2.18026497747245,Retail trade,Buy
ENTG,"Entegris, Inc.",125.41,USD,-10.344581069488132,4669474,1.7450408443481045,19125025249.33649,USD,72.28242074927954,1.735,USD,-15.096647908000968,0.285042400057008,Producer manufacturing,Buy
AA,Alcoa Corporation,71.89,USD,-7.856959753909249,5738693,1.248899156955566,18971042326.48071,USD,18.082350277938477,3.9757,USD,17.679966848212164,0.49468216670789,Non-energy minerals,Buy
MRNA,"Moderna, Inc.",47.44,USD,-8.044194611358801,6084010,1.1441903099050534,18823540458.1117,USD,,-8.1462,USD,6.610262759664318,0,Health technology,Neutral
LSCC,Lattice Semiconductor Corporation,135.57,USD,-10.762243285939965,3057227,1.6346550438864538,18574156080.037643,USD,954.7183098591549,0.142,USD,-61.776581426648725,0,Electronic technology,Buy
